index,quote,tags
36,"He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.",inspirational;love
37,"When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.",empathy;friends;friendship;inspirational
38,"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.",inspirational;the-notebook
39,Well-behaved women seldom make history.,inspirational;misattributed-eleanor-roosevelt;women
40,"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.",despair;evil;goodness;inspirational;love;sadness;truth;victory
41,"So we beat on, boats against the current, borne back ceaselessly into the past.",book;inspirational
42,"Nothing is impossible, the word itself says 'I'm possible'!",attributed-no-source;inspirational
43,"I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.",failure;inspirational;misattributed-bill-cosby;success
44,Do what you feel in your heart to be right – for you’ll be criticized anyway.,inspirational
45,"[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes “Awww!",freethinker;inspirational;mad
46,Happiness is not something ready made. It comes from your own actions.,happiness;inspirational
47,Peace begins with a smile..,inspirational;peace;smile;smiling
48,"Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.",activism;attributed-no-source;change;inspirational;life;philosophy;world
49,"Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.",books;inspirational;life;reading
50,"Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.",inspirational
51,What lies behind us and what lies before us are tiny matters compared to what lies within us.,inspirational
52,"For attractive lips, speak words of kindness",beauty;charity;inspirational;kindness;misattributed-audrey-hepburn
53,Promise Yoursel,happiness;inspirational;love;optimism;strength
54,"Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.",friendship;inspirational
55,"Whatever you are, be a good one.",inspirational
56,"I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.",inspirational;women
57,"Two wrongs don't make a right, but they make a good excuse.",humor;inspirational
58,First they ignore you. Then they ridicule you. And then they attack you and want to burn you. And then they build monuments to you.,conflict;fighting;inspirational;misattributed-to-gandhi;trial
59,May you live every day of your life.,inspirational;life;philosophy;wisdom
60,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,hope;imagination;inspirational
61,Who controls the past controls the future. Who controls the present controls the past.,inspirational
62,You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.,friendship;inspirational;pooh;winnie
63,Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?,beginnings;fresh-start;inspirational;mistake;mistakes;new-day;start-over;tomorrow
64,"If my life is going to mean anything, I have to live it myself.",inspirational;life;meaning
65,"You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.",affection;communication;heartwarming;human-connections;human-nature;humanism;humanity;inspirational;inspirational-life;inspirational-love;inspirational-quotes;relationships
66,Hope is the thing with feather,feathers;hope;inspirational;souls
67,"And once the storm is over, you won’t remember how you made it through, how you managed to survive. You won’t even be sure, whether the storm is really over. But one thing is certain. When you come out of the storm, you won’t be the same person who walked in. That’s what this storm’s all about.",adversity;inspirational;life-lessons;problems;trials
68,"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.",inspirational;life
69,Always do what you are afraid to do.,inspirational
70,Pain is inevitable. Suffering is optional.,inspirational;running
71,Our lives begin to end the day we become silent about things that matter.,inspirational
72,If you're reading this..,alive;congratulations;hope;humanity;inspiration;inspirational;inspire;life;poetry;smile;wisdom
73,"There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life",hope;inspirational;wisdom
74,"In the end, we will remember not the words of our enemies, but the silence of our friends.",inspirational
75,"Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.",inspirational;life
76,Talent hits a target no one else can hit. Genius hits a target no one else can see.,inspirational;talent
77,It is so hard to leave—until you leave. And then it is the easiest goddamned thing in the world.,inertia;inspirational;leaving;nerdfighter
78,"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..",inspirational;religion
79,Fantasy is hardly an escape from reality. It's a way of understanding it.,fantasy;inspirational;writing
80,Waiting is painful. Forgetting is painful. But not knowing which to do is the worst kind of suffering.,inspirational
81,"The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.",hope;inspirational;love
82,"Do not go where the path may lead, go instead where there is no path and leave a trail.",inspirational;life
83,I can be changed by what happens to me. But I refuse to be reduced by it,be-yourself;inspirational;misquote;self-determination
84,Never let your sense of morals prevent you from doing what is right.,humor;inspirational;philosophy;wisdom
85,Hell is empty and all the devils are here.,inspirational
86,"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",inspirational
87,"It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat.",inspirational;politics;presidential
88,I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.,humor;inspirational;life
89,Turn your wounds into wisdom.,experience;inspirational;pain;wisdom;wounds
90,"When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.",inspirational
91,"If you remember me, then I don't care if everyone else forgets.",inspirational;love
92,War is peace,freedom;ignorance;inspirational;war
93,Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.,god;heart;humanity;inspirational;prayer;religion;souls;weakness
94,Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.,attitude;choice;choices;giving;happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;kindness;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;respect
95,It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.,attitude;contentment;happiness;inspirational;life
96,"What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again.",inspirational;love
97,"And, in the en",beatles;inspirational;live;love;music
98,The future belongs to those who believe in the beauty of their dreams.,dreams;future;inspirational;misattributed-eleanor-roosevelt
99,"I don't trust people who don't love themselves and tell me, 'I love you.' ... There is an African saying which is: Be careful when a naked person offers you a shirt.",1997;annie-clark-tanner-lecture;inspirational;love;trust
100,"I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.",inspirational
101,"I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, he will not ask, 'How many good things have you done in your life?' rather he will ask, 'How much love did you put into what you did?",inspirational;love
102,"We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.",being-loved;completion;inspirational;love;relationships
103,"I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.",death;inspirational
104,Don't judge each day by the harvest you reap but by the seeds that you plant.,day;inspirational;judge;plant;reap;seed;seeds;sow
105,"But I know, somehow, that only when it is dark enough can you see the stars.",hope;inspirational
106,None but ourselves can free our minds.,bob-marley;inspirational;music;reggae
107,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,dreams;fearless;heart;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;mind;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
108,"Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.",inspirational;life;spiritual;uplifting
109,"Simplicity, patience, compassion",inspirational;life;philosophy
110,"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.",forgiveness;inspirational;letting-go;life;motivational;moving-forward;truth
111,"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.",aspiration;assurance;beauty;clouds;color;conviction;inspirational;maturity;sunset
112,"People say nothing is impossible, but I do nothing every day.",humor;idleness;inspirational
113,"Instead of worrying about what you cannot control, shift your energy to what you can create.",creation;creative;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;worry
114,A woman's heart should be so hidden in God that a man has to seek Him just to find her.,inspirational;love
115,It's kind of fun to do the impossible.,inspirational
116,"The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.",hope;inspiration;inspirational;life;truth
117,"A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.",art;inspirational
118,Dare to B,compassion;dare-to-be;gratitude;inspirational;life;motivational;seize-the-day;smile;success
119,Pain is temporary. Quitting lasts forever.,cancer;failure;inspiration;inspirational;pain;quitting
120,"When I was a little girl I used to read fairy tales. In fairy tales you meet Prince Charming and he's everything you ever wanted. In fairy tales the bad guy is very easy to spot. The bad guy is always wearing a black cape so you always know who he is. Then you grow up and you realize that Prince Charming is not as easy to find as you thought. You realize the bad guy is not wearing a black cape and he's not easy to spot; he's really funny, and he makes you laugh, and he has perfect hair.",fairy-tales;inspirational;prince-charming;taylor-swift
121,"It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.",change;focus;grow;growth;inspiration;inspirational;inspirational-quotes;inspire;inspiring;leader;leaders;leadership;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;stay-focused;step-out-of-comfort-zone;transform
122,"The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.",freedom;individuality;inspirational;mask;personality;revolution;truth
123,Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.,belief;bravery;courage;fear;fears;inspirational;inspirational-life;inspirational-quotes;strength
124,"I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.",cry;inspirational;joke;love;romance;smile
125,All the darkness in the world cannot extinguish the light of a single candle.,inspirational
126,"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.",focus;future;happiness;happy;inspiration;inspirational;inspirational-quotes;letting-go-of-the-past;life;life-and-living;life-quotes;live;living;living-in-the-present;living-life;living-life-to-the-fullest;living-now;worry
127,You never fail until you stop trying.,inspirational
128,"If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.",forgetting;hate;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;letting-go;life;life-and-living;living;strength
129,"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.",authentic-living;being-positive;blessed;compassion;hate;inspiration;inspirational;inspirational-quotes;judgment;less-more;life;life-purpose;life-quotes;living;love;mind;motivation;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;smile;smiles;spirituality;stress;stressed;worry;worrying
130,"The Chinese use two brush strokes to write the word 'crisis.' One brush stroke stands for danger; the other for opportunity. In a crisis, be aware of the danger--but recognize the opportunity.",chinese;crisis;danger;inspirational;opportunity
131,Hop,happiness;hope;inspirational;new-year
132,"Stories never really end...even if the books like to pretend they do. Stories always go on. They don't end on the last page, any more than they begin on the first page.",inspirational
133,"Start writing, no matter what. The water does not flow until the faucet is turned on.",inspirational;writing
134,Why didn't I learn to treat everything like it was the last time. My greatest regret was how much I believed in the future.,future;inspirational;life
135,"Take responsibility of your own happiness, never put it in other people’s hands.",happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;responsibility
136,You're off to Great Places,inspirational
137,To see a World in a Grain of San,inspirational;wonder
138,"Don't say you don't have enough time. You have exactly the same number of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo da Vinci, Thomas Jefferson, and Albert Einstein.",inspirational;life
139,"Well, no",forgetting;heartbreak;inspirational;living;love;moving-on
140,"We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.",growing;humanity;inspirational;inspirational-life;inspirational-love;inspirational-quotes;learning;life-and-living;life-lessons;love;people;real-love;reality;reality-of-life;those-who-love-us;to-be-loved;true-love;what-matters
141,"The secret of health for both mind and body is not to mourn for the past, nor to worry about the future, but to live the present moment wisely and earnestly.",inspirational
142,"Life is too short to waste your time on people who don’t respect, appreciate, and value you.",appreciate;inspiration;inspirational;inspirational-attitude
143,"The thing about growing up with Fred and George,"" said Ginny thoughtfully, ""is that you sort of start thinking anything's possible if you've got enough nerve.",inspirational
144,Be mindful. Be grateful. Be positive. Be true. Be kind.,gratitude;inspiration;inspirational;inspirational-quotes;kindness;life;life-and-living;life-quotes;living-life;mindful;mindfulness;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;truth
145,"Once you have tasted flight, you will forever walk the earth with your eyes turned skyward, for there you have been, and there you will always long to return.",flight;flying;inspirational
146,"One love, one heart, one destiny.",bob-marley;compassion;destiny;heart;humanity;inspirational;love
147,Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.,being-human;goodness;human;human-nature;humanism;humanity;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;kindness;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;love;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;smile;smiles
148,"If she's amazing, she won't be easy. If she's easy, she won't be amazing. If she's worth it, you wont give up. If you give up, you're not worthy. ... Truth is, everybody is going to hurt you; you just gotta find the ones worth suffering for.",inspirational;love
149,"It's not the face, but the expressions on it. It's not the voice, but what you say. It's not how you look in that body, but the thing you do with it. You are beautiful.",inspirational;love
150,"So be sure when you step, Step with care and great tact. And remember that life's A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and ¾ percent guaranteed) Kid, you'll move mountains.",humor;inspirational;success
151,"Do what is right, not what is easy nor what is popular.",act;action;do;doing;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;right;truth;what-is-easy;what-is-popular;what-is-right
152,"Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.",accept-yourself;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;keep-moving-forward;letting-go;life;life-and-living;life-lessons;life-quotes;living;love-yourself;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
153,"Is 'fat' really the worst thing a human being can be? Is 'fat' worse than 'vindictive', 'jealous', 'shallow', 'vain', 'boring' or 'cruel'? Not to me.",inspirational
154,"Dance, when you're broken open. Dance, if you've torn the bandage off. Dance in the middle of the fighting. Dance in your blood. Dance when you're perfectly free.",dance;inspirational
155,Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.,art;inspirational;love;redemption;sadness
156,You is kind. You is smart. You is important.,inspirational
157,Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,brave;courage;dreams;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;purpose;vision
158,"The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.",inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;learning;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
159,"Understanding is the first step to acceptance, and only with acceptance can there be recovery.",acceptance;inspiration;inspirational;smart;understanding;wise
160,"If you are irritated by every rub, how will your mirror be polished?",inspirational
161,It is the time you have wasted for your rose that makes your rose so important.,caring;inspirational;love;roses;time
162,"To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death.",fearless;inspirational;love
163,"You see things; you say, 'Why?' But I dream things that never were; and I say 'Why not?",inspirational
164,"What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well...",inspirational
165,"You were born with wings, why prefer to crawl through life?",inspirational
166,?Though nobody can go back and make a new beginning... Anyone can start over and make a new ending.,inspirational;life-lessons
167,"Live in the present, remember the past, and fear not the future, for it doesn't exist and never shall. There is only now.",inspirational
168,"It doesn't interest me what you do for a living. I want to know what you ache for, and if you dare to dream of meeting your heart's longing",inspirational
169,Believe in Your Hear,believe;heart;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;magic;miracles;optimism;optimistic;passion;positive;positive-affirmation;positive-life;positive-thinking;purpose
170,We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.,inspirational;science
171,"Make improvements, not excuses. Seek respect, not attention.",excuse;improvement;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;respect
172,Be grateful for what you already have while you pursue your goals,goal;goals;gratitude;happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;leader;leadership;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
173,Life becomes easier and more beautiful when we can see the good in other people.,goodness;inspiration;inspirational;inspirational-quotes;inspire;inspiring;kindness;life;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
174,Happiness [is] only real when shared,family;happiness;inspirational;love;marriage
175,"?Life is a shipwreck, but we must not forget to sing in the lifeboats.",inspirational
176,"Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.",action;adventure;authentic-living;authentic-self;authenticity;confidence;experience;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;who-you-are;whole-being
177,"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.",destiny;happiness;history;inspirational;let-go;letting-go;life;motivational;moving-on;success
178,"It was, he thought, the difference between being dragged into the arena to face a battle to the death and walking into the arena with your head held high. Some people, perhaps, would say that there was little to choose between the two ways, but Dumbledore knew - and so do I, thought Harry, with a rush of fierce pride, and so did my parents - that there was all the difference in the world.",inspirational
179,"A ship is safe in harbor, but that's not what ships are for.",courage;inspirational;misattributed-grace-hopper;misattributed-william-g-t-shedd;risk
180,Better to be strong than pretty and useless.,girls;inspirational;pretty;strength;women
181,"Follow your heart, listen to your inner voice, stop caring about what others think.",be-yourself;be-yourself-inspirational;be-yourself-quote;be-yourself-quotes;heart;inner-voice;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;wisdom;wise
182,"The unreal is more powerful than the real. Because nothing is as perfect as you can imagine it. Because its only intangible ideas, concepts, beliefs, fantasies that last. Stone crumbles. Wood rots. People, well, they die. But things as fragile as a thought, a dream, a legend, they can go on and on. If you can change the way people think. The way they see themselves. The way they see the world. You can change the way people live their lives. That's the only lasting thing you can create.",believe;inspirational
183,The most common way people give up their power is by thinking they don't have any.,inspirational
184,"Pursue what catches your heart, not what catches your eyes.",gratitude;heart;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;thoughts
185,The past has no power over the present moment.,education;inspirational;life;philosophy;truth;wisdom
186,Acts of Kindness,inspiration;inspirational;inspirational-quotes;inspire;inspiring;kind;kindness;life;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
